"","title","authors","abstract","categories","submitted","id","doi"
"1","Comment on ``Quantum Phase of Induced Dipoles Moving in a Magnetic
  Field''","C. R. Hagen","  It has recently been suggested that an Aharonov-Bohm phase should be capable
of detection using beams of neutral polarizable particles. A more careful
analysis of the proposed experiment suffices to show, however, that it cannot
be performed regardless of the strength of the external electric and magnetic
fields.
","quant-ph","1996-01-02 15:35:59","quant-ph/9601001v1","10.1103/PhysRevLett.77.1656"
"2","Bound States and Threshold Resonances in Quantum Wires with Circular
  Bends","K. Lin|R. L. Jaffe","  We study the solutions to the wave equation in a two-dimensional tube of unit
width comprised of two straight regions connected by a region of constant
curvature. We introduce a numerical method which permits high accuracy at high
curvature. We determine the bound state energies as well as the transmission
and reflection matrices, ${\cal T}$ and ${\cal R}$ and focus on the nature of
the resonances which occur in the vicinity of channel thresholds. We explore
the dependence of these solutions on the curvature of the tube and angle of the
bend and discuss several limiting cases where our numerical results confirm
analytic predictions.
","cond-mat|nucl-th|quant-ph","1996-01-03 03:49:04","cond-mat/9601004v1","10.1103/PhysRevB.54.5750"
"3","Quantum Mechanics as a Classical Theory X: Quantization in Generalized
  Coordinates","L. S. F. Olavo","  In this tenth paper of the series we aim at showing that our formalism, using
the Wigner-Moyal Infinitesimal Transformation together with classical
mechanics, endows us with the ways to quantize a system in any coordinate
representation we wish. This result is necessary if one even think about making
general relativistic extensions of the quantum formalism. Besides, physics
shall not be dependent on the specific representation we use and this result is
necessary to make quantum theory consistent and complete.
","quant-ph","1996-01-03 13:59:54","quant-ph/9601002v1",""
"4","Particle Path Formulation of Quantum Mechanics","S. R. Vatsya","  An extension of the classical action principle obtained in the framework of
the gauge transformations, is used to describe the motion of a particle. This
extension assigns many, but not all, paths to a particle. Properties of the
particle paths are shown to impart wave like behaviour to a particle in motion
and to imply various other assumptions and conjectures attributed to the
formalism of Quantum Mechanics. The Klein-Gordon and other similar equations
are derived by incorporating these properties in the path-integral formalism.
","quant-ph","1996-01-03 20:24:29","quant-ph/9601003v1",""
"5","Green Function Monte Carlo Method for Excited States of Quantum System","Taksu Cheon","  A novel scheme to solve the quantum eigenvalue problem through the
imaginary-time Green function Monte Carlo method is presented. This method is
applicable to the excited states as well as to the ground state of a generic
system. We demonstrate the validity of the method with the numerical examples
on three simple systems including a discretized sine-Gordon model.
","nucl-th|hep-lat|hep-th|quant-ph","1996-01-06 09:14:45","nucl-th/9601003v4","10.1143/PTP.96.971"
"6","Decoherence of Hydrodynamic Histories: A Simple Spin Model","T. A. Brun|J. J. Halliwell","  In the context of the decoherent histories approach to the quantum mechanics
of closed systems, Gell-Mann and Hartle have argued that the variables
typically characterizing the quasiclassical domain of a large complex system
are the integrals over small volumes of locally conserved densities --
hydrodynamic variables. The aim of this paper is to exhibit some simple models
in which approximate decoherence arises as a result of local conservation. We
derive a formula which shows the explicit connection between local conservation
and approximate decoherence. We then consider a class of models consisting of a
large number of weakly interacting components, in which the projections onto
local densities may be decomposed into projections onto one of two alternatives
of the individual components. The main example we consider is a one-dimensional
chain of locally coupled spins, and the projections are onto the total spin in
a subsection of the chain. We compute the decoherence functional for histories
of local densities, in the limit when the number of components is very large.
We find that decoherence requires two things: the smearing volumes must be
sufficiently large to ensure approximate conservation, and the local densities
must be partitioned into sufficiently large ranges to ensure protection against
quantum fluctuations.
","quant-ph|gr-qc|hep-th","1996-01-08 15:06:00","quant-ph/9601004v2","10.1103/PhysRevD.54.2899"
"7","Weak-Measurement Elements of Reality","L. Vaidman","  A brief review of the attempts to define ``elements of reality'' in the
framework of quantum theory is presented. It is noted that most definitions of
elements of reality have in common the feature to be a definite outcome of some
measurement. Elements of reality are extended to pre- and post-selected systems
and to measurements which fulfill certain criteria of weakness of the coupling.
Some features of the newly introduced concepts are discussed.
","quant-ph","1996-01-08 15:41:23","quant-ph/9601005v1","10.1007/BF02148832"
"8","Quantum Philosophy: The Flight from Reason in Science","Sheldon Goldstein","  This is a talk concerning the irrationality of prominent physicists with
regard to the foundations of quantum mechanics, delivered at a conference on
the irrationality of the postmodern attack on science by nonscientists.
","quant-ph","1996-01-10 21:27:44","quant-ph/9601007v1","10.1111/j.1749-6632.1996.tb23133.x"
"9","Pole_Factorization Theorem in Quantum Electrodynamics","Henry P. Stapp","  In quantum electrodynamics a classical part of the S-matrix is normally
factored out in order to obtain a quantum remainder that can be treated
perturbatively without the occurrence of infrared divergences. However, this
separation, as usually performed, introduces spurious large-distance effects
that produce an apparent breakdown of the important correspondence between
stable particles and poles of the S-matrix, and, consequently, lead to apparent
violations of the correspondence principle and to incorrect results for
computations in the mesoscopic domain lying between the atomic and classical
regimes. An improved computational technique is described that allows valid
results to be obtained in this domain, and that leads, for the quantum
remainder, in the cases studied, to a physical-region singularity structure
that, as regards the most singular parts, is the same as the normal
physical-region analytic structure in theories in which all particles have
non-zero mass. The key innovations are to define the classical part in
coordinate space, rather than in momentum space, and to define there a
separation of the photon-electron coupling into its classical and quantum parts
that has the following properties: 1) The contributions from the terms
containing only classical couplings can be summed to all orders to give a
unitary operator that generates the coherent state that corresponds to the
appropriate classical process, and 2) The quantum remainder can be rigorously
shown to exhibit, as regards its most singular parts, the normal analytic
structure.
","quant-ph","1996-01-10 21:59:23","quant-ph/9601008v1",""
"10","Quantum statistics of trapped bosons","H. David Politzer","  The computer code on which this paper relied contained an error. When
corrected, the Monte Carlo evaluation of the ground state occupation is
consistent with the conventional grand canonical calculation. Hence, the
original version of this paper has been withdrawn.
","quant-ph","1996-01-11 18:31:09","quant-ph/9601009v2",""
