"","title","authors","abstract","categories","submitted","id","doi"
"1","Exact results for the criticality of quench dynamics in quantum Ising
  models","Ying Li|M. X. Huo|Z. Song","  Based on the obtained exact results we systematically study the quench
dynamics of a one-dimensional spin-1/2 transverse field Ising model with zero-
and finite-temperature initial states. We focus on the magnetization of the
system after a sudden change of the external field and a coherent
time-evolution process. With a zero-temperature initial state, the quench
magnetic susceptibility as a function of the initial field strength exhibits
strongly similar scaling behaviors to those of the static magnetic
susceptibility, and the quench magnetic susceptibility as a function of the
final field strength shows a discontinuity at the quantum critical point. This
discontinuity remains robust and always occurs at the quantum critical point
even for the case of finite-temperature initial systems, which indicates a
great advantage of employing quench dynamics to study quantum phase
transitions.
","cond-mat.stat-mech|quant-ph","2009-01-01 02:58:24","0901.0158v2","10.1103/PhysRevB.80.054404"
"2","Generation of GHZ and W states for stationary qubits in spin network via
  resonance scattering","L. Jin|Z. Song","  We propose a simple scheme to establish entanglement among stationary qubits
based on the mechanism of resonance scattering between them and a
single-spin-flip wave packet in designed spin network. It is found that through
the natural dynamical evolution of an incident single-spin-flip wave packet in
a spin network and the subsequent measurement of the output single-spin-flip
wave packet,multipartite entangled states among n stationary qubits,
Greenberger-Horne-Zeilinger (GHZ) and W states can be generated.
","quant-ph|cond-mat.str-el","2009-01-01 05:00:13","0901.0161v2","10.1103/PhysRevA.79.042341"
"3","Quantum Resonance near Optimal Eavesdropping in Quantum Cryptography","Eylee Jung|Mi-Ra Hwang|DaeKil Park|Hungsoo Kim|Jin-Woo Son|Eui-Soon Yim|Seong-Keuck Cha|S. Tamaryan|Sahng-Kyoon Yoo","  We find a resonance behavior in the disturbance when an eavesdropper chooses
a near-optimal strategy intentionally or unintentionally when the usual
Bennett-Brassard cryptographic scheme is performed between two trusted parties.
This phenomenon tends to disappear when eavesdropping strategy moves far from
the optimal one. Therefore, we conjecture that this resonant effect is a
characteristic for the eavesdropping strategy near to optimal one. We argue
that this effect makes the quantum cryptography more secure against the
eavesdropper's attack.
","quant-ph","2009-01-02 13:23:42","0901.0237v1",""
"4","Quantized excitations of internal affine modes and their influence on
  Raman spectra","J. J. Sławianowski|V. Kovalchuk|B. Gołubowska|A. Martens|E. E. Rożko","  Discussed is the structure of classical and quantum excitations of internal
degrees of freedom of multiparticle objects like molecules, fullerens, atomic
nuclei, etc. Basing on some invariance properties under the action of isometric
and affine transformations we reviewed some new models of the mutual
interaction between rotational and deformative degrees of freedom. Our
methodology and some results may be useful in the theory of Raman scattering
and nuclear radiation.
","quant-ph|math-ph|math.MP","2009-01-02 15:00:01","0901.0243v4",""
"5","Overview of the structural unification of quantum mechanics and
  relativity using the algebra of quantions","Florin Moldoveanu","  The purpose of this contribution is to provide an introduction for a general
physics audience to the recent results of Emile Grgin that unifies quantum
mechanics and relativity into the same mathematical structure. This structure
is the algebra of quantions, a non-division algebra that is the natural
framework for electroweak theory on curved space-time. Similar with
quaternions, quantions preserve the core features of associativity and complex
conjugation while giving up the unnecessarily historically biased property of
division. Lack of division makes possible structural unification with
relativity (one cannot upgrade the linear Minkowski space to a division algebra
due to null light-cone vectors) and demands an adjustment from Born's standard
interpretation of the wave function in terms of probability currents. This
paper is an overview to the theory of quantions, followed by discussions.
","quant-ph|gr-qc","2009-01-03 19:18:21","0901.0332v3",""
"6","Efficient all-optical switching using slow light within a hollow fiber","M. Bajcsy|S. Hofferberth|V. Balic|T. Peyronel|M. Hafezi|A. S. Zibrov|V. Vuletic|M. D. Lukin","  We demonstrate a fiber-optical switch that is activated at tiny energies
corresponding to few hundred optical photons per pulse. This is achieved by
simultaneously confining both photons and a small laser-cooled ensemble of
atoms inside the microscopic hollow core of a single-mode photonic-crystal
fiber and using quantum optical techniques for generating slow light
propagation and large nonlinear interaction between light beams.
","quant-ph|physics.optics","2009-01-03 20:25:18","0901.0336v1","10.1103/PhysRevLett.102.203902"
"7","The Froissart-Gribov representation of Jost function of Dirac operators
  in arbitrary-dimension space","S. E Korenblit","  A dynamic scheme basing on equation for T-matrix momentum transfer spectral
density and integral representation for Jost function is proposed for local
Dirac Hamiltonians in arbitrary N- dimension spaces and for Schrodinger one
with singular or nonlocal generalized Yukawa-type potentials. A generalization
of the off-shell-Jost function method for that Hamiltonians and universal
renormalization procedure of Jost function calculation for singular and
nonlocal potentials is proposed.
","math-ph|hep-th|math.MP|quant-ph","2009-01-03 21:50:40","0901.0341v1",""
"8","Experimental Quantum Teleportation and Multi-Photon Entanglement via
  Interfering Narrowband Photon Sources","Jian Yang|Xiao-Hui Bao|Han Zhang|Shuai Chen|Cheng-Zhi Peng|Zeng-Bing Chen|Jian-Wei Pan","  In this letter, we report a realization of synchronization-free quantum
teleportation and narrowband three-photon entanglement through interfering
narrowband photon sources. Since both the single-photon and the entangled
photon pair utilized are completely autonomous, it removes the requirement of
high demanding synchronization technique in long-distance quantum communication
with pulsed spontaneous parametric down-conversion sources. The frequency
linewidth of the three-photon entanglement realized is on the order of several
MHz, which matches the requirement of atomic ensemble based quantum memories.
Such a narrowband multi-photon source will have applications in some advanced
quantum communication protocols and linear optical quantum computation.
","quant-ph","2009-01-04 03:56:09","0901.0351v2","10.1103/PhysRevA.80.042321"
"9","Collins diffraction formula and the Wigner function in entangled state
  representation","Hong-yi Fan|Li-yun Hu","  Based on the correspondence between Collins diffraction formula (optical
Fresnel transform) and the transformation matrix element of a three-parameters
two-mode squeezing operator in the entangled state representation (Opt. Lett.
31 (2006) 2622) we further explore the relationship between output field
intensity determined by the Collins formula and the input field's probability
distribution along an infinitely thin phase space strip both in spacial domain
and frequency domain. The entangled Wigner function is introduced for
recapitulating the result.
","quant-ph","2009-01-04 08:00:19","0901.0364v1",""
"10","Svetlichny's inequality and genuine tripartite nonlocality in
  three-qubit pure states","Ashok Ajoy|Pranaw Rungta","  The violation of the Svetlichny's inequality (SI) [Phys. Rev. D, 35, 3066
(1987)] is sufficient but not necessary for genuine tripartite nonlocal
correlations. Here we quantify the relationship between tripartite entanglement
and the maximum expectation value of the Svetlichny operator (which is bounded
from above by the inequality) for the two inequivalent subclasses of pure
three-qubit states: the GHZ-class and the W-class. We show that the maximum for
the GHZ-class states reduces to Mermin's inequality [Phys. Rev. Lett. 65, 1838
(1990)] modulo a constant factor, and although it is a function of the three
tangle and the residual concurrence, large number of states don't violate the
inequality. We further show that by design SI is more suitable as a measure of
genuine tripartite nonlocality between the three qubits in the the W-class
states, and the maximum is a certain function of the bipartite entanglement
(the concurrence) of the three reduced states, and only when their certain sum
attains a certain threshold value, they violate the inequality.
","quant-ph","2009-01-04 11:05:02","0901.0368v2","10.1103/PhysRevA.81.052334"
"11","Generation and Direct Detection of Broadband Mesoscopic
  Polarization-Squeezed Vacuum","T. Sh. Iskhakov|M. V. Chekhova|G. Leuchs","  Using a traveling-wave OPA with two orthogonally oriented type-I BBO crystals
pumped by picosecond pulses, we generate vertically and horizontally polarized
squeezed vacuum states within a broad range of wavelengths and angles.
Depending on the phase between these states, fluctuations in one or another
Stokes parameters are suppressed below the shot-noise limit. Due to the large
number of photon pairs produced, no local oscillator is required, and 3dB
squeezing is observed by means of direct detection.
","quant-ph","2009-01-04 12:55:13","0901.0371v1","10.1103/PhysRevLett.102.183602"
"12","Universal Framework for Quantum Error-Correcting Codes","Zhuo Li|Li-Juan Xing","  We present a universal framework for quantum error-correcting codes, i.e.,
the one that applies for the most general quantum error-correcting codes. This
framework is established on the group algebra, an algebraic notation for the
nice error bases of quantum systems. The nicest thing about this framework is
that we can characterize the properties of quantum codes by the properties of
the group algebra. We show how it characterizes the properties of quantum codes
as well as generates some new results about quantum codes.
","quant-ph","2009-01-04 13:25:27","0901.0376v1",""
"13","Spin-like current from phase space distributions","Peter Holland","  The spin 0 generalized phase space approach provides a general expression for
local current which depends on the choice of distribution function and
generally deviates from the Schrodinger current. It is shown that the
continuity equation restricts the admissible bilinear distributions such that
the current has a unique dependence on the wavefunction and coincides with the
non-relativistic limit of the relativistic spin 1/2 current for a spin
eigenstate, up to a constant vector. Examples of non-bilinear distributions
that have the latter property are given.
","quant-ph","2009-01-04 21:47:04","0901.0402v1","10.1088/1751-8113/42/13/135304"
