"","title","authors","abstract","categories","submitted","id","doi"
"1","Quantum Computing of Classical Chaos: Smile of the Arnold-Schrodinger
  Cat","B. Georgeot|D. L. Shepelyansky","  We show on the example of the Arnold cat map that classical chaotic systems
can be simulated with exponential efficiency on a quantum computer. Although
classical computer errors grow exponentially with time, the quantum algorithm
with moderate imperfections is able to simulate accurately the unstable chaotic
classical dynamics for long times. The algorithm can be easily implemented on
systems of a few qubits.
","quant-ph|cond-mat|nlin.CD","2001-01-01 00:01:12","quant-ph/0101004v1","10.1103/PhysRevLett.86.5393"
"2","Quantum Communication Complexity (A Survey)","Gilles Brassard","  Can quantum communication be more efficient than its classical counterpart?
Holevo's theorem rules out the possibility of communicating more than n bits of
classical information by the transmission of n quantum bits --- unless the two
parties are entangled, in which case twice as many classical bits can be
communicated but no more. In apparent contradiction, there are distributed
computational tasks for which quantum communication cannot be simulated
efficiently by classical means. In extreme cases, the effect of transmitting
quantum bits cannot be achieved classically short of transmitting an
exponentially larger number of bits.
  In a similar vein, can entanglement be used to save on classical
communication? It is well known that entanglement on its own is useless for the
transmission of information. Yet, there are distributed tasks that cannot be
accomplished at all in a classical world when communication is not allowed, but
that become possible if the non-communicating parties share prior entanglement.
This leads to the question of how expensive it is, in terms of classical
communication, to provide an exact simulation of the spooky power of
entanglement.
","quant-ph","2001-01-01 07:12:35","quant-ph/0101005v1",""
"3","Quantum-Liouville and Langevin Equations for Gravitational Radiation
  Damping","Z. Haba|H. Kleinert","  From a forward--backward path integral, we derive a master equation for the
emission and absorption of gravitons by a massive quantum object in a heat bath
of gravitons. Such an equation could describe collapse phenomena of dense
stars. We also present a useful approximate Langevin equation for such a
system.
","quant-ph","2001-01-01 11:48:04","quant-ph/0101006v1","10.1142/S0217751X02009862"
"4","Formulation of Quantum Theory Using Computable and Non-Computable Real
  Numbers","T. N. Palmer","  It is shown that in two-state quantum theory, a generic quantum state can be
described by a non-computable real number. In terms of this, the criterion for
measurement outcome is simply and deterministically defined. This demonstration
is based on a construction of the Riemann sphere whose points represent, not
complex numbers, but divergent sequences with bivalent elements. Complex
structure arises from self-similar properties of a set of operators which
generate these sequences. In general, a rotation of (the coordinates of) the
sphere maps a computable real to a non-computable real. This is interpreted
physically as a mapping of a physically-measurable state to a counterfactual
state. Implications for non-locality, null measurements, many worlds and so on,
are discussed. The possible role of the Euler equation as the counterpart of
the Schrodinger equation for real-number quantum state evolution is also
outlined.
","quant-ph|nlin.CD","2001-01-02 13:06:19","quant-ph/0101007v1",""
"5","Charged particles in a rotating magnetic field","Qiong-gui Lin","  We study the valence electron of an alkaline atom or a general charged
particle with arbitrary spin and with magnetic moment moving in a rotating
magnetic field. By using a time-dependent unitary transformation, the
Schr\""odinger equation with the time-dependent Hamiltonian can be reduced to a
Schr\""odinger-like equation with a time-independent effective Hamiltonian.
Eigenstates of the effective Hamiltonian correspond to cyclic solutions of the
original Schr\""odinger equation. The nonadiabatic geometric phase of a cyclic
solution can be expressed in terms of the expectation value of the component of
the total angular momentum along the rotating axis, regardless of whether the
solution is explicitly available. For the alkaline atomic electron and a strong
magnetic field, the eigenvalue problem of the effective Hamiltonian is
completely solved, and the geometric phase turns out to be a linear combination
of two solid angles. For a weak magnetic field, the same problem is solved
partly. For a general charged particle, the problem is solved approximately in
a slowly rotating magnetic field, and the geometric phases are also calculated.
","quant-ph","2001-01-02 13:39:34","quant-ph/0101008v1","10.1103/PhysRevA.63.012108"
"6","Quantum Networks for Concentrating Entanglement","Phillip Kaye|Michele Mosca","  If two parties, Alice and Bob, share some number, n, of partially entangled
pairs of qubits, then it is possible for them to concentrate these pairs into
some smaller number of maximally entangled states. We present a simplified
version of the algorithm for such entanglement concentration, and we describe
efficient networks for implementing these operations.
","quant-ph","2001-01-02 13:51:01","quant-ph/0101009v1","10.1088/0305-4470/34/35/319"
"7","Geometric Phases, Symmetries of Dynamical Invariants, and Exact Solution
  of the Schrödinger Equation","Ali Mostafazadeh","  We introduce the notion of the geometrically equivalent quantum systems
(GEQS) as quantum systems that lead to the same geometric phases for a given
complete set of initial state vectors. We give a characterization of the GEQS.
These systems have a common dynamical invariant, and their Hamiltonians and
evolution operators are related by symmetry transformations of the invariant.
If the invariant is $T$-periodic, the corresponding class of GEQS includes a
system with a $T$-periodic Hamiltonian. We apply our general results to study
the classes of GEQS that include a system with a cranked Hamiltonian
$H(t)=e^{-iKt}H_0e^{iKt}$. We show that the cranking operator $K$ also belongs
to this class. Hence, in spite of the fact that it is time-independent, it
leads to nontrivial cyclic evolutions and geometric phases. Our analysis allows
for an explicit construction of a complete set of nonstationary cyclic states
of any time-independent simple harmonic oscillator. The period of these cyclic
states is half the characteristic period of the oscillator.
","quant-ph|hep-th|math-ph|math.MP","2001-01-02 19:34:20","quant-ph/0101010v3","10.1088/0305-4470/34/32/312"
"8","Photon position operators and localized bases","Margaret Hawton|William E. Baylis","  We extend a procedure for construction of the photon position operators with
transverse eigenvectors and commuting components [Phys. Rev. A 59, 954 (1999)]
to body rotations described by three Euler angles. The axial angle can be made
a function of the two polar angles, and different choices of the functional
dependence are analogous to different gauges of a magnetic field. Symmetries
broken by a choice of gauge are re-established by transformations within the
gauge group. The approach allows several previous proposals to be related.
Because of the coupling of the photon momentum and spin, our position operator,
like that proposed by Pryce, is a matrix that does not commute with the spin
operator. Unlike the Pryce operator, however, our operator has commuting
components, but the commutators of these components with the total angular
momentum require an extra term to rotate the matrices for each vector component
around the momentum direction. Several proofs of the nonexistence of a photon
position operator with commuting components are based on overly restrictive
premises that do not apply here.
","quant-ph","2001-01-03 03:26:15","quant-ph/0101011v2","10.1103/PhysRevA.64.012101"
"9","Entanglement in the Quantum Heisenberg XY model","Xiaoguang Wang","  We study the entanglement in the quantum Heisenberg XY model in which the
so-called W entangled states can be generated for 3 or 4 qubits. By the concept
of concurrence, we study the entanglement in the time evolution of the XY
model. We investigate the thermal entanglement in the two-qubit isotropic XY
model with a magnetic field and in the anisotropic XY model, and find that the
thermal entanglement exists for both ferromagnetic and antiferromagnetic cases.
Some evidences of the quantum phase transition also appear in these simple
models.
","quant-ph|cond-mat.stat-mech","2001-01-03 10:19:51","quant-ph/0101013v2","10.1103/PhysRevA.64.012313"
"10","Inhibition of Decoherence due to Decay in a Continuum","G. S. Agarwal|M. O. Scully|H. Walther","  We propose a scheme for slowing down decay into a continuum. We make use of a
sequence of ultrashort $2\pi$-pulses applied on an auxiliary transition of the
system so that there is a destructive interference between the two transition
amplitudes - one before the application of the pulse and the other after the
application of the pulse. We give explicit results for a structured continuum.
Our scheme can also inhibit unwanted transitions.
","quant-ph","2001-01-03 12:01:00","quant-ph/0101014v1","10.1103/PhysRevLett.86.4271"
